session_id,module_id,subsession_id,group_id,round_number,module,num_players,total_contribution
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g1,1,pgg,4,29
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g2,1,pgg,4,10
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g3,1,pgg,4,27
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g4,1,pgg,4,11
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g5,1,pgg,4,19
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g6,1,pgg,4,10
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2_g1,2,pgg,4,25
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2_g2,2,pgg,4,12
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2_g3,2,pgg,4,27
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2_g4,2,pgg,4,11
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2_g5,2,pgg,4,29
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r2_g6,2,pgg,4,8
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3_g1,3,pgg,4,25
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3_g2,3,pgg,4,13
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3_g3,3,pgg,4,26
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3_g4,3,pgg,4,11
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3_g5,3,pgg,4,29
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r3_g6,3,pgg,4,6
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4_g1,4,pgg,4,25
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4_g2,4,pgg,4,13
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4_g3,4,pgg,4,26
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4_g4,4,pgg,4,11
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4_g5,4,pgg,4,27
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r4_g6,4,pgg,4,5
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5_g1,5,pgg,4,25
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5_g2,5,pgg,4,13
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5_g3,5,pgg,4,26
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5_g4,5,pgg,4,11
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5_g5,5,pgg,4,27
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r5_g6,5,pgg,4,3
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire_r1,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire_r1_g1,1,questionnaire,1,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire_r1,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire_r1_g2,1,questionnaire,1,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire_r1,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire_r1_g3,1,questionnaire,1,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire_r1,public_good_experiment_20260518T134422Z_xaji0y_s1_questionnaire_r1_g4,1,questionnaire,1,
