session_id,player_id,agent_instance_id,agent_id,group_id,subsession_id,round_number,module,pgg_quiz_1,pgg_quiz_1_speculation_score,pgg_quiz_2,pgg_quiz_2_speculation_score,pgg_quiz_3,pgg_quiz_3_speculation_score,endowment,decision,decision_speculation_score,public_account_earnings,private_account_remaining,payoff,belief,belief_speculation_score,comments
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_1_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_1,1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.05,13,6,0.2,14.5,7,21.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_2_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_2,2,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,15,6,0.3,14.5,9,23.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_3_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_3,3,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,Other group members' earnings increase,0.0,14,7,0.3,14.5,7,21.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_4_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_4,4,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g1,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,17,10,0.1,14.5,7,21.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_5_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_5,5,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g2,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,17,0,0.1,5,17,22,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_6_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_6,6,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g2,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,13,0,0.1,5,13,18,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_7_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_7,7,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g2,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,13,2,0.1,5,11,16,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_8_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_8,8,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g2,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,11,8,0.2,5,3,8,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_9_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_9,9,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g3,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.1,14,6,0.2,13.5,8,21.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_10_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_10,10,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g3,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.05,13,5,0.1,13.5,8,21.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_11_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_11,11,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g3,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,16,6,0.2,13.5,10,23.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_12_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_12,12,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g3,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,14,10,0.3,13.5,4,17.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_13_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_13,13,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g4,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,17,0,0.0,5.5,17,22.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_14_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_14,14,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g4,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,None of the above,0.0,14,5,0.3,5.5,9,14.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_15_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_15,15,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g4,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,Other group members' earnings increase,0.0,17,0,0.1,5.5,17,22.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_16_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_16,16,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g4,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,12,6,0.2,5.5,6,11.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_17_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_17,17,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g5,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,12,0,0.05,9.5,12,21.5,,,
public_good_experiment_20260518T134422Z_xaji0y_s1,public_good_experiment_20260518T134422Z_xaji0y_18_public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,public_good_experiment_20260518T134422Z_xaji0y_18,18,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1_g5,public_good_experiment_20260518T134422Z_xaji0y_s1_pgg_r1,1,pgg,10,0.0,Equally among all members,0.0,The total tokens in the public account decrease,0.0,13,7,0.2,9.5,6,15.5,,,
